Distance,Time_sec,SteerAngle_[deg],SteerVelo_[deg/s],AccelPedalPosition_[-],AccelPedalSpeed
3.66003,0.244002,7.163108,105.925645,14.636131,8.632
3.69,0.246,8.293263,113.015546,14.722451,7.8421
3.72003,0.248002,9.490661,119.73981,14.800872,7.2768
3.75,0.25,10.748764,125.810322,14.87364,7.016
3.79004,0.252669333,12.059128,131.036389,14.9438,7.0061
3.82001,0.254667333,13.412797,135.36691,15.013861,7.0352
3.85004,0.256669333,14.801277,138.848001,15.084213,6.8138
3.88001,0.258667333,16.216713,141.543517,15.152351,6.1171
3.91003,0.260668667,17.651473,143.476003,15.213522,4.9036
3.95001,0.263334,19.09768,144.620778,15.262558,3.3394
3.98004,0.265336,20.547138,144.945737,15.295952,1.7263
4.01001,0.267334,21.991749,144.461141,15.313215,0.3743
4.04004,0.269336,23.424174,143.242488,15.316958,-0.5117
4.08002,0.272001333,24.838284,141.411026,15.311841,-0.8857
4.11005,0.274003333,26.22912,139.083526,15.302984,-0.847
4.14002,0.276001333,27.592324,136.320475,15.294514,-0.5748
4.18005,0.27867,28.923361,133.103654,15.288766,-0.2501
4.21002,0.280668,30.216975,129.361403,15.286265,0.005
4.24005,0.28267,31.46735,125.037473,15.286315,0.1509
4.28003,0.285335333,32.669107,120.175692,15.287824,0.2164
4.31006,0.287337333,33.818892,114.978583,15.289988,0.2569
4.34003,0.289335333,34.916924,109.803196,15.292557,0.31
4.38001,0.292000667,35.967759,105.083462,15.295657,0.3644
4.41003,0.294002,36.9798,101.204093,15.299301,0.3597
4.45001,0.296667333,37.963574,98.3774,15.302898,0.217
4.48004,0.298669333,38.929339,96.576523,15.305068,-0.1093
4.51001,0.300667333,39.884894,95.555447,15.303975,-0.5804
4.55005,0.303336667,40.834387,94.949328,15.298171,-1.0466
4.58002,0.305334667,41.778542,94.415517,15.287705,-1.2672
4.62006,0.308004,42.716144,93.760247,15.275033,-0.9798
4.65003,0.310002,43.646173,93.002883,15.265235,-0.005
4.69,0.312666667,44.569717,92.354402,15.265185,1.6509
4.72003,0.314668667,45.490915,92.119795,15.281694,3.7428
4.76001,0.317334,46.416553,92.563793,15.319122,5.8198
4.79004,0.319336,47.354489,93.793581,15.37732,7.3525
4.83002,0.322001333,48.311524,95.703487,15.450845,7.9141
4.86005,0.324003333,49.291507,97.998351,15.529986,7.3412
4.90003,0.326668667,50.294293,100.278529,15.603398,5.7981
4.93005,0.32867,51.315765,102.147248,15.661379,3.7133
4.97003,0.331335333,52.348756,103.299106,15.698512,1.6199
5.01001,0.334000667,53.384396,103.563952,15.714711,-0.0275
5.04004,0.336002667,54.413429,102.903365,15.714436,-0.9817
5.08002,0.338668,55.427194,101.376416,15.704619,-1.2391
5.11005,0.34067,56.418186,99.099282,15.692228,-0.9874
5.15003,0.343335333,57.380356,96.216943,15.682354,-0.5024
5.19,0.346,58.309261,92.890502,15.67733,-0.0391
5.22003,0.348002,59.202172,89.291161,15.676939,0.2442
5.26001,0.350667333,60.058065,85.58926,15.679381,0.3122
5.30005,0.353336667,60.877403,81.933774,15.682503,0.2311
5.34003,0.356002,61.661684,78.428153,15.684814,0.1144
5.37006,0.358004,62.412831,75.114689,15.685958,0.0623
5.41003,0.360668667,63.132593,71.976218,15.686581,0.1141
5.45001,0.363334,63.822118,68.952482,15.687722,0.231
5.49005,0.366003333,64.481704,65.958542,15.690032,0.3127
5.52002,0.368001333,65.110646,62.894268,15.693159,0.2456
5.56006,0.370670667,65.707113,59.646667,15.695615,-0.0366
5.60004,0.373336,66.268094,56.098104,15.695249,-0.4998
5.64002,0.376001333,66.789607,52.151253,15.690251,-0.986
5.68005,0.37867,67.267272,47.766518,15.680391,-1.24
5.72003,0.381335333,67.697197,42.992481,15.667991,-0.9859
5.75,0.383333333,68.076879,37.968245,15.658132,-0.0343
5.79004,0.386002667,68.405783,32.890382,15.657789,1.6124
5.83002,0.388668,68.685353,27.956996,15.673913,3.7082
5.87006,0.391337333,68.918499,23.314628,15.710995,5.7989
5.91003,0.394002,69.108832,19.033299,15.768984,7.3505
5.95001,0.396667333,69.260052,15.122004,15.842489,7.9311
5.99005,0.399336667,69.375823,11.577125,15.9218,7.3727
6.03003,0.402002,69.46021,8.438662,15.995527,5.8352
6.07001,0.404667333,69.51844,5.823044,16.053879,3.7441
6.11005,0.407336667,69.557556,3.911514,16.09132,1.6312
6.15003,0.410002,69.586508,2.895225,16.107632,-0.046
6.19,0.412666667,69.615513,2.900509,16.107172,-1.0322
6.23004,0.415336,69.654796,3.928352,16.09685,-1.3118
6.27002,0.418001333,69.713151,5.835487,16.083732,-1.0589
6.31006,0.420670667,69.796794,8.364288,16.073143,-0.5405
6.35004,0.423336,69.908854,11.205993,16.067738,-0.0127
6.39002,0.426001333,70.049557,14.070306,16.067611,0.3503
6.43005,0.42867,70.21695,16.739276,16.071114,0.4834
6.47003,0.431335333,70.407917,19.096702,16.075948,0.4165
6.52002,0.434668,70.61925,21.133331,16.080113,0.234
6.56006,0.437337333,70.848536,22.928615,16.082453,0.0314
6.60004,0.440002667,71.094626,24.608937,16.082767,-0.119
6.64002,0.442668,71.357509,26.288339,16.081577,-0.1846
6.68005,0.445336667,71.63761,28.010039,16.079731,-0.1702
6.72003,0.448002,71.934761,29.715122,16.078029,-0.105
6.77002,0.451334667,72.247347,31.258645,16.076979,-0.0258
6.81006,0.454004,72.572065,32.471813,16.076721,0.0374
6.85004,0.456669333,72.904499,33.243331,16.077095,0.0691
6.89002,0.459334667,73.240297,33.57983,16.077786,0.0688
6.93005,0.462003333,73.576441,33.614442,16.078474,0.0462
6.98004,0.465336,73.912035,33.559403,16.078936,0.0158
7.02002,0.468001333,74.248305,33.627005,16.079094,-0.0105
7.06006,0.470670667,74.587871,33.956587,16.078989,-0.0252
7.11005,0.474003333,74.933642,34.577111,16.078737,-0.0274
7.15003,0.476668667,75.287772,35.412944,16.078463,-0.0199
7.19,0.479333333,75.650968,36.319654,16.078264,-0.0084
7.24005,0.48267,76.022254,37.128584,16.07818,0.0023
7.28003,0.485335333,76.399101,37.684631,16.078203,0.0091
7.32001,0.488000667,76.777833,37.873245,16.078294,0.0107
7.37006,0.491337333,77.154236,37.640253,16.078401,0.0084
7.41003,0.494002,77.524303,37.006774,16.078485,0.0041
7.46002,0.497334667,77.885041,36.073763,16.078526,-0.0002
7.5,0.5,78.235084,35.004358,16.078524,-0.0031
7.55005,0.503336667,78.574842,33.975762,16.078493,-0.0041
7.59003,0.506002,78.905927,33.108505,16.078452,-0.0035
7.64002,0.509334667,79.229936,32.400917,16.078417,-0.002
7.68005,0.512003333,79.546983,31.70468,16.078397,-0.0002
7.73004,0.515336,79.854612,30.762899,16.078395,0.0011
7.77002,0.518001333,80.147623,29.301088,16.078406,0.0015
7.82001,0.521334,80.418951,27.132808,16.078421,0.0015
7.86005,0.524003333,80.661291,24.234029,16.078436,0.0008
7.91003,0.527335333,80.868869,20.757802,16.078444,0.0002
7.95001,0.530000667,81.03877,16.990032,16.078446,-0.0003
8,0.533333333,81.171462,13.26921,16.078443,-0.0006
8.04004,0.536002667,81.270457,9.899515,16.078437,-0.0005
8.09003,0.539335333,81.34128,7.082275,16.078432,-0.0004
8.14002,0.542668,81.390108,4.882831,16.078428,-0.0002
8.18005,0.545336667,81.422511,3.240316,16.078426,0.0001
8.23004,0.548669333,81.442663,2.015156,16.078427,0.0002
8.28003,0.552002,81.453217,1.055471,16.078429,0.0003
8.32001,0.554667333,81.455773,0.255521,16.078432,0.0001
8.37006,0.558004,81.451604,-0.416822,16.078433,0.0001
8.42004,0.561336,81.442292,-0.931213,16.078434,0
8.46002,0.564001333,81.429956,-1.233647,16.078434,-0.0001
8.51001,0.567334,81.417049,-1.290683,16.078433,-0.0001
8.56006,0.570670667,81.40587,-1.117925,16.078432,0
8.61005,0.574003333,81.398044,-0.782536,16.078432,-0.0001
8.65003,0.576668667,81.394213,-0.383139,16.078431,0
8.70001,0.580000667,81.394015,-0.019783,16.078431,0.0001
8.75,0.583333333,81.396337,0.232215,16.078432,0
8.80005,0.58667,81.3997,0.336261,16.078432,0
8.85004,0.590002667,81.402655,0.295522,16.078432,0
8.89002,0.592668,81.404109,0.145348,16.078432,0
8.94,0.596,81.403533,-0.057606,16.078432,0
8.99005,0.599336667,81.401068,-0.246425,16.078432,0
9.04004,0.602669333,81.397519,-0.354969,16.078432,0
9.09003,0.606002,81.394216,-0.330263,16.078432,0
9.14002,0.609334667,81.392752,-0.146393,16.078432,0
9.19,0.612666667,81.394583,0.183131,16.078432,0
9.24005,0.616003333,81.400593,0.600925,16.078432,0
9.29004,0.619336,81.410753,1.016066,16.078432,0
9.34003,0.622668667,81.424072,1.331896,16.078432,0
9.39002,0.626001333,81.438922,1.485009,16.078432,0
9.44,0.629333333,81.453714,1.479145,16.078432,0
9.49005,0.63267,81.467647,1.393287,16.078432,0
9.54004,0.636002667,81.481154,1.350741,16.078432,0
9.59003,0.639335333,81.495708,1.455346,16.078432,0
9.64002,0.642668,81.512932,1.722468,16.078432,0.0001
9.69,0.646,81.533351,2.041857,16.078433,0
9.74005,0.649336667,81.555336,2.198548,16.078433,0
9.79004,0.652669333,81.574844,1.950775,16.078433,-0.0001
9.84003,0.656002,81.586189,1.134531,16.078432,0
9.89002,0.659334667,81.583678,-0.25109,16.078432,-0.0001
9.95001,0.663334,81.563512,-2.016623,16.078431,-1.00E-04
10,0.666666667,81.525248,-3.826371,16.07843,0
10.05005,0.670003333,81.472276,-5.297206,16.07843,1.00E-04
10.10004,0.673336,81.411127,-6.114914,16.078431,0.0002
10.15003,0.676668667,81.349852,-6.127524,16.078433,0.0002
10.20001,0.680000667,81.29598,-5.38719,16.078435,0.0002
10.26001,0.684000667,81.254653,-4.132712,16.078437,0
10.31006,0.687337333,81.22741,-2.724287,16.078437,-0.0001
10.36005,0.69067,81.211878,-1.553218,16.078436,-0.0005
10.41003,0.694002,81.202371,-0.950702,16.078431,-0.0006
10.47003,0.698002,81.191212,-1.115878,16.078425,-0.0005
10.52002,0.701334667,81.170433,-2.077913,16.07842,-0.0002
10.57001,0.704667333,81.133436,-3.699703,16.078418,0.0003
10.63001,0.708667333,81.076227,-5.720894,16.078421,0.001
10.68005,0.712003333,80.99795,-7.827718,16.078431,0.0015
10.73004,0.715336,80.900644,-9.730637,16.078446,0.0015
10.79004,0.719336,80.788346,-11.22976,16.078461,0.0008
10.84003,0.722668667,80.665826,-12.251964,16.078469,-0.0005
10.89002,0.726001333,80.537308,-12.851832,16.078464,-0.0023
10.95001,0.730000667,80.405518,-13.179038,16.078441,-0.0038
11,0.733333333,80.271275,-13.424276,16.078403,-0.004
11.06006,0.737337333,80.133666,-13.760847,16.078363,-0.0026
11.11005,0.74067,79.990678,-14.298846,16.078337,0.0007
11.16003,0.744002,79.840034,-15.064414,16.078344,0.0051
11.22003,0.748002,79.679947,-16.008677,16.078395,0.009
11.27002,0.751334667,79.509529,-17.041813,16.078485,0.0107
11.33002,0.755334667,79.328727,-18.080219,16.078592,0.0078
11.38001,0.758667333,79.137824,-19.09026,16.07867,0.0003
11.44,0.762666667,78.936715,-20.110874,16.078673,-0.0109
11.49005,0.766003333,78.724296,-21.241976,16.078564,-0.0219
11.55005,0.770003333,78.498307,-22.598855,16.078345,-0.0275
11.60004,0.773336,78.255803,-24.25043,16.07807,-0.0229
11.66003,0.777335333,77.994104,-26.169907,16.077841,-0.0055
11.72003,0.781335333,77.711887,-28.221658,16.077786,0.0223
11.77002,0.784668,77.409977,-30.191001,16.078009,0.0519
11.83002,0.788668,77.091522,-31.845505,16.078528,0.0703
11.88001,0.792000667,76.761458,-33.006368,16.079231,0.0644
11.94,0.796,76.425389,-33.606926,16.079875,0.0255
12,0.8,76.088202,-33.718755,16.08013,-0.0423
12.05005,0.803336667,75.75287,-33.533182,16.079707,-0.1203
12.11005,0.807336667,75.419879,-33.299117,16.078504,-0.1766
12.17004,0.811336,75.087523,-33.235601,16.076738,-0.1751
12.22003,0.814668667,74.753005,-33.451776,16.074987,-0.0909
12.28003,0.818668667,74.413922,-33.908286,16.074078,0.0734
12.34003,0.822668667,74.069535,-34.438648,16.074812,0.276
12.40003,0.826668667,73.721297,-34.823818,16.077572,0.4378
12.45001,0.830000667,73.372388,-34.890911,16.08195,0.4631
12.51001,0.834000667,73.026412,-34.597639,16.086581,0.276
12.57001,0.838000667,72.685718,-34.069409,16.089341,-0.1344
12.63001,0.842000667,72.349992,-33.57253,16.087997,-0.677
12.69,0.846,72.015701,-33.429103,16.081227,-1.1502
12.74005,0.849336667,71.676691,-33.901077,16.069725,-1.2757
12.80005,0.853336667,71.325836,-35.085414,16.056968,-0.7731
12.86005,0.857336667,70.957211,-36.862579,16.049237,0.539
12.92004,0.861336,70.567972,-38.923883,16.054627,2.6558
12.98004,0.865336,70.159232,-40.873953,16.081185,5.3477
13.04004,0.869336,69.735498,-42.373382,16.134662,8.2044
13.09003,0.872668667,69.302831,-43.266772,16.216706,10.7501
13.15003,0.876668667,68.866394,-43.643679,16.324207,12.594
13.21002,0.880668,68.428331,-43.806255,16.450147,13.5568
13.27002,0.884668,67.986762,-44.156937,16.585715,13.7236
13.33002,0.888668,67.53623,-45.053225,16.722951,13.4061
13.39002,0.892668,67.069357,-46.68729,16.857012,13.0329
13.45001,0.896667333,66.579039,-49.031797,16.987341,13.0047
13.51001,0.900667333,66.060421,-51.861834,17.117388,13.5645
13.57001,0.904667333,65.512069,-54.835162,17.253033,14.7202
13.63001,0.908667333,64.936071,-57.599767,17.400235,16.2443
13.69,0.912666667,64.337108,-59.896334,17.562678,17.7455
13.75,0.916666667,63.720841,-61.626717,17.740133,18.7874
13.81006,0.920670667,63.092167,-62.867363,17.928007,19.0104
13.87006,0.924670667,62.453946,-63.822139,18.118111,18.2174
13.93005,0.92867,61.806639,-64.730685,18.300285,16.4081
13.99005,0.93267,61.148968,-65.767097,18.464366,13.7634
14.05005,0.93667,60.479277,-66.969093,18.602,10.5991
14.12006,0.941337333,59.797025,-68.225228,18.707991,7.3051
14.18005,0.945336667,59.103802,-69.322234,18.781042,4.274
14.24005,0.949336667,58.403511,-70.029119,18.823782,1.827
14.30005,0.953336667,57.701694,-70.181767,18.842052,0.1504
14.36005,0.957336667,57.004337,-69.735616,18.843556,-0.7347
14.42004,0.961336,56.31664,-68.769745,18.836209,-0.9583
14.49005,0.966003333,55.642187,-67.445262,18.826626,-0.7456
14.55005,0.970003333,54.982807,-65.938051,18.81917,-0.3449
14.61005,0.974003333,54.339053,-64.375392,18.815721,0.039
14.67004,0.978002667,53.711018,-62.80345,18.816111,0.2829
14.73004,0.982002667,53.099044,-61.19741,18.81894,0.3526
14.80005,0.98667,52.503993,-59.505173,18.822466,0.2816
14.86005,0.99067,51.926985,-57.700775,18.825282,0.1388
14.92004,0.994669333,51.368757,-55.822824,18.82667,-0.0061
14.99005,0.999336667,50.828919,-53.983794,18.826609,-0.1048
15.05005,1.003336667,50.305418,-52.35009,18.825561,-0.1389
15.11005,1.007336667,49.794382,-51.103524,18.824172,-0.1175
15.18005,1.012003333,49.290386,-50.399677,18.822997,-0.0644
15.24005,1.016003333,48.787012,-50.337413,18.822353,-0.0067
15.30005,1.020003333,48.277539,-50.947283,18.822286,0.0356
15.37006,1.024670667,47.755562,-52.197633,18.822642,0.0534
15.43005,1.02867,47.215454,-54.010837,18.823176,0.0485
15.5,1.033333333,46.652635,-56.281931,18.823661,0.0295
15.56006,1.037337333,46.063673,-58.896165,18.823956,0.0067
15.63001,1.042000667,45.446229,-61.744382,18.824023,-0.0113
15.69,1.046,44.798901,-64.732841,18.82391,-0.02
15.76001,1.050667333,44.121083,-67.781781,18.82371,-0.0196
15.82001,1.054667333,43.412969,-70.811428,18.823514,-0.013
15.89002,1.059334667,42.675727,-73.72422,18.823384,-0.0042
15.95001,1.063334,41.911734,-76.399206,18.823342,0.0032
16.02002,1.068001333,41.124623,-78.711151,18.823374,0.0073
16.08002,1.072001333,40.318895,-80.572786,18.823447,0.0079
16.15003,1.076668667,39.49908,-81.981471,18.823526,0.0056
16.22003,1.081335333,38.668656,-83.042436,18.823582,0.0023
16.28003,1.085335333,37.829175,-83.948089,18.823605,-0.0008
16.35004,1.090002667,36.980024,-84.915109,18.823597,-0.0026
16.42004,1.094669333,36.11897,-86.105373,18.823571,-0.0031
16.48004,1.098669333,35.243308,-87.566268,18.82354,-0.0024
16.55005,1.103336667,34.35117,-89.213779,18.823516,-0.0012
16.62006,1.108004,33.442597,-90.857324,18.823504,0.0002
16.68005,1.112003333,32.520133,-92.246334,18.823506,0.0009
16.75,1.116666667,31.588971,-93.116236,18.823515,0.0012
16.82001,1.121334,30.656738,-93.223284,18.823527,0.001
16.89002,1.126001333,29.733015,-92.3723,18.823537,0.0006
16.96002,1.130668,28.828542,-90.447286,18.823543,0
17.02002,1.134668,27.954066,-87.447619,18.823543,-0.0004
17.09003,1.139335333,27.118892,-83.517447,18.823539,-0.0005
17.16003,1.144002,26.329429,-78.946243,18.823534,-0.0005
17.23004,1.148669333,25.588179,-74.125051,18.823529,-0.0003
17.30005,1.153336667,24.893543,-69.463571,18.823526,0
17.37006,1.158004,24.240604,-65.29386,18.823526,0.0003
17.43005,1.162003333,23.622663,-61.794099,18.823529,0.0004
17.5,1.166666667,23.033084,-58.957947,18.823533,0.0004
17.57001,1.171334,22.46691,-56.617382,18.823537,0.0002
17.64002,1.176001333,21.921833,-54.507653,18.823539,-0.0001
